price_9,eps_gap,bps_gap,capax_gap,cfo_gap,ebit_gap,sales_gap,fcf_gap,ni_gap,price_12
10555,-66,290,-181,3247,-68,-1373,3428,-360,9800
3995,26,87,2,5,18,49,2,12,5635
7370,89,46,-2,14,13,42,16,11,7235
1503,6,-31,1,-65,-15,-610,-66,2,1375
4942,82,-8,3,60,7,94,57,9,5210
2265,47,-28,-9,-17,-15,35,-9,7,3868
96750,5161,7780,40,9809,-233,-1244,9769,994,88250
4786,-226,-224,-281,-375,-148,-464,-94,-84,4478
3470,28,471,-12,-21,9,-139,-10,20,3440
32850,1018,2274,209,-617,162,810,-825,316,35250
3561,42,123,-4,44,7,36,46,19,3348
122000,-2804,576,5,3526,-2162,-5352,3520,-3270,120750
7035,-166,-310,-1,-46,-34,-2,-47,-29,6280
19300,145,-128,9,-76,28,-12,-85,44,22725
163500,-825,1274,-453,-358,-343,-3051,94,-196,149000
1258,-5,-12,8,-24,-18,-81,-33,-2,1333
1735,-21,7,8,-207,-7,-172,-215,-12,1980
393750,-3646,17197,-212,-1671,-1826,-1427,-1459,-1259,363000
8695,2784,-485,-140,-370,31,-605,-229,5609,5125
65250,1406,2209,-233,1613,-130,-585,1848,383,64150
2245,111,26,0,9,0,14,9,5,3733
2435,-8,11,-6,22,15,40,28,-1,2595
693,38,-8,0,4,21,28,5,27,637
3982,14,71,38,16,-10,-39,-22,3,6120
37300,-347,437,-2,24,-9,46,26,-7,31000
3005,39,32,0,33,14,12,33,11,2915
12625,-217,448,-2,291,-30,-617,293,-25,11450
4766,-19,284,2,66,-14,-24,64,-11,4398
3893,-18,28,2,10,-14,37,7,-5,3963
21625,964,2061,-1,-46,20,-19,-46,127,20075
76400,-966,2662,16,4235,-215,-1691,4218,-329,92950
39600,807,1620,93,1411,64,282,1319,315,43525
1980,47,-82,-81,1181,-67,-286,1262,82,1975
796,-12,77,2,-40,2,32,-42,-22,694
1295,11,22,-2,-36,-5,17,-33,10,1280
4821,65,130,-24,-102,8,77,-79,22,4593
53350,-3153,73427,-188,-841,-22,57,-653,-95,36575
227250,-2875,8500,-611,-1648,-1763,-9853,-1037,-2797,262500
1336,5,-7,-2,1,-4,14,3,2,1128
3608,1767,1491,-1,22,12,-31,23,147,3335
4302,49,59,33,172,16,-12,139,22,5470
9785,89,506,17,77,-7,49,61,4,9870
35500,65,1195,321,1609,2,2311,1288,62,40375
6730,178,249,1,16,7,53,15,48,6280
88150,-117,1088,-7,-106,-80,203,-98,-44,103500
1074,-19,68,0,30,-27,91,30,-21,1020
2620,-392,-232,-65,57,-52,-283,122,-126,2395
1665,-10,2,-2,-47,-2,-22,-45,-2,1685
21350,425,1069,-20,66,-4,13,86,59,23325
5825,-103,60,78,166,-46,-253,89,-22,6250
942,-1,22,-2,366,-9,219,366,-1,1025
2320,-48,-21,4,-91,15,-25,-95,-32,2560
7525,15,483,-22,169,35,98,191,13,6720
17850,1042,1496,-15,2252,124,1497,2267,98,16500
4955,66,106,-5,69,1,-16,73,9,4255
7860,-38,302,25,16,-33,-60,-8,-9,8005
5717,-27,-28,-2,63,4,8,65,-9,6160
9485,211,32,4,-50,-2,-32,-55,25,13600
46250,13,199,88,-23,-1,58,-111,1,46400
2043,11,-12,-5,-108,4,-46,-103,4,1960
4168,-39,-30,8,-96,-34,28,-105,-39,3915
31350,445,2043,-46,122,-10,69,167,20,29550
4932,1092,1204,1,101,11,14,100,219,5030
3230,-70,18,24,221,-59,-47,196,-48,3185
3298,199,278,-6,-155,-8,64,-149,69,3328
2790,42,125,9,101,22,67,92,5,2855
9430,125,-13,0,28,-9,54,27,36,10270
76700,-215,1292,26,92,-52,-107,66,-18,74000
4230,135,341,-31,637,132,880,669,64,3990
53100,-27,879,-29,316,73,281,345,13,47700
48975,392,2552,355,-71,36,86,-426,32,45650
2691,41,38,-3,10,0,1,13,7,2393
1353,35,36,-1,92,17,-36,92,14,1027
4387,-20,83,-10,48,-5,6,57,-3,4940
1253,4,11,1,164,5,-9,162,2,1065
954,5,21,-3,5,11,8,8,5,858
58950,1331,2367,1,74,2,27,73,27,58200
1029,5,-46,-11,54,4,18,65,3,1103
37575,-2102,1329,-79,-1298,-152,-2558,-1218,-128,38525
8930,-79,988,5,-15,-4,3,-20,-4,6885
7865,31,188,-3,-61,6,15,-58,5,7840
6055,9,-659,-59,10,-172,-1961,69,-26,6475
40650,-840,641,1070,-17523,-6167,-22211,-18593,-5411,38550
6115,-74,-107,89,-239,100,362,-327,-4,5315
5185,75,166,12,357,19,-53,344,37,5355
12275,100,-65,-20,-112,1,-90,-91,6,19500
84300,123,-307,-16,-113,29,4,-97,30,110900
134000,-1241,2851,1017,541,78,-503,-476,-64,129250
8770,-4372,-2677,22,130,-211,58,108,-614,8185
27950,589,1439,109,-153,19,493,-263,29,32375
1690,33,-3,0,-27,2,-8,-27,13,1778
8650,-1311,-130,0,-370,-313,-1769,-369,-311,8265
2273,-38,6,0,5,-16,19,5,-28,2255
1440,7,88,-1,97,0,26,97,1,1550
2515,32,-3,48,-21,-10,-12,-69,14,2520
6065,205,249,-31,-14,25,47,17,59,6035
8515,408,282,9,-77,38,97,-86,75,8600
93850,-3712,997,20,-1568,-248,-3514,-1589,-187,95000
1540,18,49,3,-43,8,32,-46,9,1435
249750,443,10846,-2124,-481,128,1112,1644,370,271500
879,-12,-31,-8,-11,2,-26,-5,-8,561
48750,-167,1036,15,-41,100,710,-56,-117,52550
119750,3754,4797,47,328,89,313,280,147,158750
8045,75,16,-4,-135,22,6,-130,16,7465
2810,145,92,-10,7,9,18,17,84,2855
57350,1038,4776,83,558,-50,-3203,475,80,57800
5810,-64,121,-24,141,13,1,166,-28,5495
4150,257,42,-60,-17,74,36,42,187,4240
33400,-315,-932,-13,171,-25,-25,184,-24,36100
167750,647,2170,247,2035,388,2246,1788,528,199500
4063,-214,-32,-3,-49,-37,-22,-46,-61,4188
102350,2464,8527,23,2098,89,-539,2076,570,95450
11900,-8,80,-117,-1114,-245,-757,-996,-49,13425
12500,-447,-251,4,-46,5,-10,-51,-21,12225
6405,40,92,1,4,9,31,3,22,7380
1836,85,206,3,105,7,4,102,14,1758
12725,-21,-241,106,-239,-30,-65,-344,-5,14625
22025,-118,912,-21,-86,-17,-100,-65,-11,21200
4430,-757,-447,11,65,-53,-252,52,-102,4830
3756,372,416,-16,69,9,-19,84,42,3728
5310,-72,-37,3,-6,-8,-24,-9,-7,11465
31475,-619,446,-86,-63,-157,561,24,-152,32000
39425,186,591,17,111,4,126,94,77,36925
4302,-857,-284,-132,287,165,348,418,-1709,4645
1233,-157,-70,-2,65,-36,-50,67,-75,1143
95850,274,470,65,-17,-3,132,-82,198,103100
